INDNAICS,TOT_EMP,TOT_EMP_se,MED_TOT_INC_NAICS_q50,MED_TOT_INC_NAICS_q50_se,MED_WAGE_INC_NAICS_q50,MED_WAGE_INC_NAICS_q50_se,MED_TOT_INC_q50,MED_WAGE_INC_q50,MFG,MED_INC_DUMMY,MED_WAGE_DUMMY
522M,27838,967.0364005558425,6e4,2063.4930937731788,56944.60869565217,2219.5,4e4,36e3,0,1,1
524,92876,1611.0363279578771,60907,967.9536354745123,56909,1250,4e4,36e3,0,1,1
52M1,78442,1772.1688266076683,51640,1032.5,50877,895.5,4e4,36e3,0,1,1
52M2,59147,1518.6958879249,89579,2149.5,81403,1721.5,4e4,36e3,0,1,1
531,70913,1563.7821459525621,47e3,1120,40046,778.7521557417531,4e4,36e3,0,1,1
5321,4457,352.55744212822964,37225.54054054054,2191.3355908202366,33340.12676056338,2809.5404478363616,4e4,36e3,0,0,0
53223,998,197.84274057948147,23250.22580645161,6824.820830845837,20351,7023.907789823041,4e4,36e3,0,0,0
532M,2213,263.84995736213415,4e4,4147.658467699137,35e3,4021.2952919366826,4e4,36e3,0,0,0
53M,3141,294.1384877910404,61052,5689.311048591802,59947.08,3638.2076184380385,4e4,36e3,0,1,1
5411,67397,1358.5565317645048,69165,1315.050595434568,6e4,1263,4e4,36e3,0,1,1
5412,38529,1200.441564591963,58175.294117647056,1026.25,50058.71296296296,1886.5,4e4,36e3,0,1,1
5413,40626,1026.6557358725465,68502,1556.75,64049.65217391304,1663.588186957957,4e4,36e3,0,1,1
5414,14104,683.9507292195835,45367.857142857145,1824.75,35040,2437.4378134427334,4e4,36e3,0,1,0
5415,64777,1464.3182031238975,79041,1600.75,75086,1695.593944581411,4e4,36e3,0,1,1
5416,78052,1666.8851940070738,71227,1542.1900234886161,62e3,1265.9721495038484,4e4,36e3,0,1,1
5417,15563,607.9891446399351,74061.04545454546,3341,69181.09615384616,3270.471826529534,4e4,36e3,0,1,1
5418,29335,1123.6327691910735,59023.71052631579,1445.9153701942687,54820.90000000001,2002.25,4e4,36e3,0,1,1
